Time;Action
747025660.000000;26.000000
747025810.000000;25.000000
747025910.000000;26.000000
747026010.000000;25.000000
747026060.000000;26.000000
747026820.000000;25.000000
747027120.000000;26.000000
747027370.000000;25.000000
747027420.000000;26.000000
747027570.000000;25.000000
747027870.000000;26.000000
747028090.000000;25.000000
747028290.000000;26.000000
747029190.000000;25.000000
747029290.000000;26.000000
747030190.000000;25.000000
747030290.000000;26.000000
747044730.000000;34.000000
747044730.000000;36.000000
747133970.000000;25.000000
747134170.000000;26.000000
747134670.000000;25.000000
747134970.000000;26.000000
747135220.000000;25.000000
747135820.000000;26.000000
747136670.000000;25.000000
747136720.000000;26.000000
747136890.000000;25.000000
747137040.000000;26.000000
747137440.000000;25.000000
747137890.000000;26.000000
747137940.000000;25.000000
747138740.000000;26.000000
747138910.000000;25.000000
747139010.000000;26.000000
747144440.000000;25.000000
747144700.000000;26.000000
747144740.000000;33.000000
747144800.000000;25.000000
747144800.000000;17.000000
747144800.000000;19.000000
747144800.000000;21.000000
747145050.000000;26.000000
747150810.000000;22.000000
747150860.000000;18.000000
747150860.000000;20.000000
747163820.000000;25.000000
747180830.000000;34.000000
747180830.000000;36.000000
747187480.000000;26.000000
747188180.000000;25.000000
747190080.000000;26.000000
747190980.000000;25.000000
747191330.000000;26.000000
747191380.000000;25.000000
747191480.000000;26.000000
747191580.000000;25.000000
747191680.000000;26.000000
747191730.000000;25.000000
747192130.000000;26.000000
747194280.000000;25.000000
747194440.000000;26.000000
747194740.000000;25.000000
747194940.000000;26.000000
747346670.000000;25.000000
747346820.000000;26.000000
747347170.000000;25.000000
747347370.000000;26.000000
747347670.000000;25.000000
747347720.000000;26.000000
747348020.000000;25.000000
747348270.000000;26.000000
747349120.000000;25.000000
747349370.000000;26.000000
747349430.000000;25.000000
747349530.000000;26.000000
747349580.000000;25.000000
747349680.000000;26.000000
747349830.000000;25.000000
747350380.000000;26.000000
747350730.000000;25.000000
747350980.000000;26.000000
747351130.000000;25.000000
747351380.000000;26.000000
747353490.000000;25.000000
747353540.000000;26.000000
747353590.000000;25.000000
747354190.000000;26.000000
747354240.000000;25.000000
747354540.000000;26.000000
747354590.000000;25.000000
747354740.000000;26.000000
747354850.000000;25.000000
747355800.000000;26.000000
747360450.000000;25.000000
747362160.000000;26.000000
747362210.000000;25.000000
747362360.000000;26.000000
747410870.000000;33.000000
747480730.000000;25.000000
747480730.000000;17.000000
747480730.000000;19.000000
747480730.000000;21.000000
747480780.000000;26.000000
747480880.000000;25.000000
747480980.000000;26.000000
747482930.000000;25.000000
747482980.000000;26.000000
747483780.000000;18.000000
